|h2e2
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,a0b0,a9a8,a3a4|a8d8
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,a0b0,a9a8,a3a4,a8d8|h0g2
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,a0b0,a9a8,a3a4,a8d8,h0g2|d8d5
h2e2,h9g7,h0g2,g6g5|i0h0
h2e2,h9g7,h0g2,g6g5,c3c4|i9h9
h2e2,h9g7,h0g2,g6g5,c3c4,b9c7|b0c2
h2e2,h9g7,h0g2,g6g5,c3c4,b9c7,b0c2|i9h9
h2e2,h9g7,h0g2,g6g5,c3c4,b9c7,b0c2,g7h5|c2d4
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5|h0h6
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6|b9c7
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,b9c7|c3c4
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,b9c7,e3e4|d9e8
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,b9c7,e3e4,d9e8|b0c2
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,b9c7,e3e4,d9e8,e4e5|c6c5
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0a2,g6g5,b2c2|a9b9
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0a2,g6g5,b2c2,a9b9|a0b0
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0a2,g6g5,b2c2,a9b9,a0b0|b7b3
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,g3g4|c6c5
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,g3g4,c6c5|b0a2
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,g3g4,c6c5,b0a2|a6a5
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,g3g4,c6c5,b0a2,a6a5|b2c2
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,g3g4,c6c5,b0a2,a6a5,b2c2|c7b5
h2e2,h7e7,h0g2,h9g7|i0h0
h2e2,h7e7,h0g2,h9g7,i0i1|i9h9
h2e2,h7e7,h0g2,h9g7,i0i1,i9h9|i1d1
h2e2,h7e7,h0g2,h9g7,i0i1,i9h9,i1d1|h9h5
h2e2,h7e7,h0g2,h9g7,i0i1,i9h9,i1d1,h9h5|b0c2
h2e2,h7e7,h0g2,h9g7,i0i1,i9h9,i1d1,h9h5,b0a2|f9e8
h2e2,h7e7,h0g2,h9g7,i0i1,i9h9,i1d1,h9h5,b0a2,f9e8|b2c2
c3c4,g6g5,h2g2|h7e7
c3c4,g6g5,h2g2,h7e7|b0c2
c3c4,g6g5,h2g2,h7e7,b0c2|h9g7
c3c4,g6g5,h2g2,h7e7,b0c2,h9g7|c0e2
c3c4,g6g5,h2g2,h7e7,b0c2,h9g7,c0e2|b9a7
c3c4,g6g5,h2g2,h7e7,b0c2,h9g7,c0e2,i9h9|h0i2
c3c4,g6g5,h2g2,h7e7,b0c2,h9g7,c0e2,i9h9,d0e1|g7f5
c3c4,g6g5,h2g2,h7e7,b0c2,h9g7,c0e2,i9h9,d0e1,g7f5|h0i2
c3c4,g6g5,h2g2,h7e7,b0c2,h9g7,c0e2,i9h9,d0e1,g7f5,a0d0|b9c7
b0c2|c6c5
