|h2e2
c3c4,g6g5,b0c2,h9g7,a0a1,c9e7,h0g2,i9i8,i0i1,i8d8|i1d1
c3c4,g6g5,b0c2,h9g7,a0a1,c9e7,h0g2,i9i8,i0i1,i8d8,i1d1|d9e8
g0e2,h7e7,h0g2,h9g7,i0h0,g6g5,c3c4,b7c7,b0c2,c6c5,c2d4|c5c4
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2b4|g6g5
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2b4,g6g5|b0c2
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2b4,g6g5,b0c2|c6c5
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2b4,g6g5,b0c2,c6c5|e3e4
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2b4,g6g5,b0c2,c6c5,e3e4|d9e8
h2d2,g6g5,h0g2,h9g7,c3c4,i9h9,g0e2|b9a7
h2d2,g6g5,h0g2,h9g7,c3c4,i9h9,g0e2,b9a7|b0c2
h2d2,g6g5,h0g2,h9g7,c3c4,i9h9,g0e2,b9a7,b0c2|a9a8
h2d2,g6g5,h0g2,h9g7,c3c4,i9h9,g0e2,b9a7,b0c2,a9a8|f0e1
h2d2,g6g5,h0g2,h9g7,c3c4,i9h9,g0e2,b9a7,b0c2,a9a8,f0e1|c6c5
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,g6g5,b0c2,b9c7,i0i1|c9e7
c3c4,b7c7,h2e2,f9e8,h0g2|b9a7
c3c4,b7c7,h2e2,f9e8,h0g2,b9a7|i0h0
c3c4,b7c7,h2e2,f9e8,h0g2,b9a7,i0h0|a9b9
c3c4,b7c7,h2e2,f9e8,h0g2,b9a7,i0h0,a9b9|b2d2
c3c4,b7c7,h2e2,f9e8,h0g2,b9a7,i0h0,a9b9,b2d2|h7d7
c3c4,b7c7,h2e2,f9e8,h0g2,b9a7,i0h0,a9b9,b2d2,h7d7|b0c2
c3c4,b7c7,h2e2,f9e8,h0g2,b9a7,i0h0,a9b9,b2d2,h7d7,b0c2|h9g7
g0e2,h7d7,h2f2,h9g7,h0g2,c6c5,b2c2,b9a7|i0h0
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,h0g2|a9b9
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,h0g2,a9b9|a0b0
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,h0g2,a9b9,a0b0|b9b5
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,h0g2,a9b9,a0b0,b9b5|i0h0
c3c4,b7c7,h2e2,g9e7,b0a2,b9a7,h0g2,a9b9,a0b0,b9b5,i0h0|a6a5
h2e2,h9g7,h0g2,i9h9,i0h0,g6g5,h0h6,b9c7,b2d2,a9b9,b0a2|b7a7
c3c4,b7c7,h2e2,c9e7,d0e1,b9d8,b2d2,g6g5,b0c2,a9b9,h0g2|h7g7
c3c4,g6g5,b0c2,h9g7,a0a1,i9i8,g0e2,c9e7|h0f1
c3c4,g6g5,b0c2,h9g7,h0i2,i9i8,g0e2,c9e7,i0g0|b9d8
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,i0h0|i9h9
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,i0h0,i9h9|b0c2
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,i0h0,i9h9,b0c2|b7c7
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,i0h0,i9h9,b0c2,b7c7|c2b4
g0e2,h7e7,h0g2,g6g5,c3c4,h9g7,i0h0,i9h9,b0c2,b7c7,c2b4|g7f5
h2e2,h9g7,h0g2,i9h9,i0h0,c6c5,g3g4,b9c7,b0a2,c9e7,h0h6|d9e8
g0e2,h7e7,h0g2,h9g7,i0h0,g6g5,h2i2,b9a7|a3a4
c3c4,g6g5,h2g2,h7e7,g3g4,g9i7|g4g5
c3c4,g6g5,h2g2,h7e7,g3g4,g9i7,g4g5|i7g5
c3c4,g6g5,h2g2,h7e7,g3g4,g9i7,g4g5,h9f8|b0c2
g0e2,b9c7,g3g4,c6c5,h0g2,g9e7,b0a2,a9a8,a0a1,a8g8,h2h0|g6g5
h2e2,h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,c9e7,b2a2,c6c5|a0b0
h2e2,h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,c9e7,b2a2,c6c5,a0b0|b7d7
h0g2,g6g5,b2e2,h9g7,b0c2,b9c7|a0b0
h0g2,g6g5,b2e2,h9g7,b0c2,b9c7,a0b0|a9b9
h0g2,g6g5,b2e2,h9g7,b0c2,b9c7,a0b0,a9b9|c3c4
h0g2,g6g5,b2e2,h9g7,b0c2,b9c7,a0b0,a9b9,b0b4|b7a7
h0g2,g6g5,b2e2,h9g7,b0c2,b9c7,a0b0,a9b9,b0b4,b7a7|b4b9
h0g2,g6g5,b2e2,h9g7,b0c2,b9c7,a0b0,a9b9,b0b4,b7a7,b4b9|c7b9
g0e2,b7f7,g3g4,h9i7|h0g2
h2e2,h9g7,c3c4,i9h9,h0g2,g6g5,b0c2,b9c7,c2d4,a9a8,b2d2|b7b4
h2f2,b7f7,h0g2,h9i7,i0h0,i9h9,b0c2,b9c7,a0b0|a9b9
h2f2,b7f7,h0g2,h9i7,i0h0,i9h9,b0c2,b9c7,a0b0,a9b9|c3c4
h2f2,b7f7,h0g2,h9i7,i0h0,i9h9,b0c2,b9c7,a0b0,a9b9,c3c4|b9b5
g0e2,b9c7,b2c2|a9b9
g0e2,b9c7,b2c2,a9b9|c2c6
g0e2,b9c7,b2c2,a9b9,b0a2|b7a7
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5,i0h0,h7h3,b2b4|c6c5
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5,i0h0,h7h3,b2b4,c6c5|c4c5
h2e2,h9g7,h0g2,i9h9,c3c4,g6g5,i0h0,h7h3,b2b4,c6c5,c4c5|c9e7
g0e2,h9g7,g3g4,c6c5,h0g2,b9c7,b0a2,g9e7,b2d2|h7h5
g0e2,h9g7,g3g4,c6c5,h0g2,b9c7,b0a2,g9e7,b2d2,h7h5|a0a1
g0e2,h9g7,g3g4,c6c5,h0g2,b9c7,b0a2,g9e7,b2d2,h7h5,a0a1|a9a8
g0e2,h7d7,h2f2,h9g7,h0g2,c6c5,b2c2,b9a7,i0h0|b7b3
g0e2,b9c7,c3c4,g6g5,b0c2,h9g7,b2a2,a9b9,a0b0,c9e7|h0g2
g0e2,b9c7,c3c4,g6g5,b0c2,h9g7,b2a2,a9b9,a0b0,c9e7,h0g2|b7b2
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,g3g4,c6c5,h0h6,h7i7|h6h9
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,g3g4,c6c5,h0h6,h7i7,h6h9|g7h9
g0e2,b7d7,c3c4,b9c7,b0c2,a9b9,a0b0,h7e7,h2f2|h9g7
g0e2,b7d7,c3c4,b9c7,b0c2,a9b9,a0b0,h7e7,h2f2,h9g7|h0g2
g0e2,b7d7,c3c4,b9c7,b0c2,a9b9,a0b0,h7e7,h2f2,h9g7,h0g2|i9h9
g3g4,h7g7,b2e2,c9e7,f0e1,h9i7,h2f2,i9h9,h0g2,h9h3|b0c2
g3g4,h7g7,b2e2,c9e7,f0e1,h9i7,h2f2,i9h9,h0g2,h9h3,b0c2|h3g3
c3c4,b7c7,h2e2,h9g7,d0e1|i9h9
c3c4,b7c7,h2e2,h9g7,d0e1,i9h9|h0g2
c3c4,b7c7,h2e2,h9g7,d0e1,i9h9,h0g2|g6g5
b0c2,c6c5,g3g4,b9c7,h0g2,h9i7,i0i1,i9i8,i1f1,a9a8|b2a2
b0c2,c6c5,g3g4,b9c7,h0g2,h9i7,i0i1,i9i8,i1f1,a9a8,b2a2|i8f8
g0e2,g6g5,b0c2,b9a7,c3c4,g9e7,h2f2,a9a8|h0g2
g0e2,g6g5,h2g2,g9e7,h0i2,h9g7,i0h0,h7i7|b0c2
g0e2,g6g5,h2g2,g9e7,h0i2,h9g7,i0h0,h7i7,b0c2|b9a7
g0e2,g6g5,h2g2,g9e7,h0i2,h9g7,i0h0,h7i7,b0c2,b9a7|b2a2
g0e2,g6g5,h2g2,g9e7,h0i2,h9g7,i0h0,h7i7,b0c2,b9a7,b2a2|a9b9
c0e2,h7f7,c3c4,h9g7,i0i1|i9h9
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9|i1f1
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,i1f1|d9e8
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,i1f1,d9e8|b2d2
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,i1f1,d9e8,b2d2|b9a7
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,i1f1,d9e8,b2d2,b9a7|b0c2
c0e2,h7f7,c3c4,h9g7,i0i1,i9h9,i1f1,d9e8,b2d2,b9a7,b0c2|a9b9
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,h2f2,i9h9|h0g2
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,h2f2,i9h9,h0g2|e6e5
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,h2f2,i9h9,h0g2,e6e5|a0a1
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,h2f2,i9h9,h0g2,e6e5,a0a1|e5e4
b2e2,b9c7,g3g4,a9b9,b0c2,c6c5|h0g2
b2e2,b9c7,g3g4,a9b9,b0c2,c6c5,h0g2|h9g7
h2e2,h9g7,h0g2,i9h9,i0h0,c6c5,b0a2,b9c7,g3g4,c9e7|b2b6
h2e2,h9g7,h0g2,i9h9,i0h0,c6c5,b0a2,b9c7,g3g4,c9e7,b2b6|a6a5
c3c4,b7c7,b0c2,c6c5,c2d4,c5c4,d4e6,g9e7|h0g2
c3c4,b7c7,b0c2,c6c5,c2d4,c5c4,d4e6,g9e7,h0g2|b9a7
b0c2,c6c5,h2f2,h9i7,h0g2,b9c7|i0h0
b0c2,c6c5,h2f2,h9i7,h0g2,b9c7,i0h0|i9h9
b0c2,c6c5,h2f2,h9i7,h0g2,b9c7,i0h0,i9h9|g3g4
b0c2,c6c5,h2f2,h9i7,h0g2,b9c7,i0h0,i9h9,g3g4|a9a8
g0e2,b7f7,g3g4,b9c7,b0a2,a9b9,a0b0,b9b5|b2c2
g0e2,b7f7,g3g4,b9c7,b0a2,a9b9,a0b0,b9b5,b2c2|b5f5
g0e2,b7f7,g3g4,b9c7,b0a2,a9b9,a0b0,b9b5,b2c2,b5f5|h0g2
g0e2,b7f7,g3g4,b9c7,b0a2,a9b9,a0b0,b9b5,b2c2,b5f5,h0g2|g9e7
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,c3c4,g6g5,h0h6,c9e7|b0c2
h2e2,h9g7,h0g2,b9c7,i0h0,i9h9,c3c4,g6g5,h0h6,c9e7,b0c2|b7b6
b0c2,g6g5,h2g2,h9i7|h0i2
b0c2,g6g5,h2g2,h9i7,h0i2|i9h9
b0c2,g6g5,h2g2,h9i7,h0i2,i9h9|i0h0
c3c4,h7d7,h0g2,h9g7,b0c2|g6g5
c3c4,h7d7,h0g2,h9g7,b0c2,g6g5|i0h0
g0e2,h7e7,h0g2,h9g7,i0h0,i9h9,b0c2,b7d7,a0b0,b9c7,g3g4|a9b9
g0e2,h7e7,h0g2,h9g7,i0h0,b9c7|c3c4
g3g4,c6c5,h0g2,b9c7,b0a2,a9a8|c0e2
g0e2,g6g5,b0c2,g9e7,c3c4,b9a7,h2f2,a9a8|h0g2
g0e2,g6g5,b0c2,g9e7,c3c4,b9a7,h2f2,a9a8,h0g2|a8f8
g0e2,g6g5,b0c2,g9e7,c3c4,b9a7,h2f2,a9a8,h0g2,a8f8|f0e1
g0e2,g6g5,b0c2,g9e7,c3c4,b9a7,h2f2,a9a8,h0g2,a8f8,f0e1|h9g7
h2e2,b9c7,h0g2,c9e7,i0h0,h7g7|c3c4
h2e2,b9c7,h0g2,c9e7,i0h0,h7g7,c3c4|g7g3
h2e2,b9c7,h0g2,c9e7,i0h0,h7g7,c3c4,g7g3|b0c2
h2e2,b9c7,h0g2,c9e7,i0h0,h7g7,c3c4,g7g3,b0c2|h9g7
h2e2,b9c7,h0g2,c9e7,i0h0,h7g7,c3c4,g7g3,b0c2,h9g7|c2d4
g0e2,b7d7,g3g4,g9e7|a0a1
g0e2,b7d7,g3g4,g9e7,a0a1|b9a7
h2e2,c9e7,h0g2,h9i7|i0h0
h2e2,c9e7,h0g2,h9i7,i0h0|i9h9
h2e2,c9e7,h0g2,h9i7,i0h0,i9h9|b0c2
h2e2,c9e7,h0g2,h9i7,i0h0,i9h9,b0c2|b9c7
h2e2,c9e7,h0g2,h9i7,i0h0,i9h9,b0c2,b9c7|c3c4
h2e2,c9e7,h0g2,h9i7,i0h0,i9h9,b0c2,b9c7,c3c4|d9e8
h2e2,c9e7,h0g2,h9i7,i0h0,i9h9,b0c2,b9c7,c3c4,d9e8|b2a2
c3c4,b7c7,h2e2,c9e7,d0e1,b9a7|b2d2
c3c4,b7c7,h2e2,c9e7,d0e1,b9a7,b2d2|h9g7
c3c4,b7c7,h2e2,c9e7,d0e1,b9a7,b2d2,h9g7|h0g2
c3c4,b7c7,h2e2,c9e7,d0e1,b9a7,b2d2,h9g7,h0g2|i9h9
c3c4,b7c7,h2e2,c9e7,d0e1,b9a7,b2d2,h9g7,h0g2,i9h9|b0c2
b0c2,g6g5,h2g2,c9e7,h0i2,h9g7,i0h0,i9h9,c3c4|h7h2
b0c2,g6g5,h2g2,c9e7,h0i2,h9g7,i0h0,i9h9,c3c4,h7h2|c0e2
c0e2,b7e7,b0c2,b9c7,h0g2|a9b9
c0e2,b7e7,b0c2,b9c7,h0g2,a9b9|a0b0
c0e2,b7e7,b0c2,b9c7,h0g2,a9b9,a0b0|h9i7
c0e2,b7e7,b0c2,b9c7,h0g2,a9b9,a0b0,h9i7|c3c4
c0e2,b7e7,b0c2,b9c7,h0g2,a9b9,a0b0,h9i7,c3c4|h7f7
c0e2,b7e7,b0c2,b9c7,h0g2,a9b9,a0b0,h9i7,c3c4,h7f7|i0h0
c0e2,b7e7,b0c2,b9c7,h0g2,a9b9,a0b0,h9i7,c3c4,h7f7,i0h0|i9h9
g0e2,g6g5,b0c2,h9g7,c3c4,c9e7|a0a1
g0e2,g6g5,b0c2,h9g7,c3c4,c9e7,h0f1|b9d8
g0e2,g6g5,b0c2,h9g7,c3c4,c9e7,h0f1,b9d8|i0g0
g0e2,g6g5,b0c2,h9g7,c3c4,c9e7,h0f1,b9d8,i0g0|a9c9
g0e2,g6g5,b0c2,h9g7,c3c4,c9e7,h0f1,b9d8,i0g0,a9c9|g3g4
g0e2,g6g5,b0c2,h9g7,c3c4,c9e7,h0f1,b9d8,i0g0,a9c9,g3g4|g5g4
c3c4,h7d7,h0g2,h9g7,b0c2,i9h9|i0h0
c3c4,h7d7,h0g2,h9g7,b0c2,i9h9,i0h0|g6g5
c3c4,h7d7,h0g2,h9g7,b0c2,i9h9,i0h0,g6g5|h2h6
g0e2,h7e7,h0g2,g6g5,i0h0,h9g7,h2i2|b7d7
g0e2,h7e7,h0g2,g6g5,i0h0,h9g7,h2i2,b7d7|c3c4
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,b9c7,i0h0,b7b3|e3e4
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,b9c7,i0h0,b7b3,e3e4|h7h3
c3c4,g6g5,b2e2,b9c7,b0c2,a9b9,a0b0,h9g7,h0i2,i6i5,h2f2|b7b5
g0e2,h7e7,g3g4,e7e3|f0e1
g0e2,h7e7,g3g4,e7e3,f0e1|h9g7
g0e2,b9c7,c3c4,g6g5,b0c2,h9g7,h0f1,a9a8,i0g0,a8f8|a0a1
h2e2,h9g7,c3c4,g6g5,h0g2,b9c7,b0c2,b7b3|e3e4
h2e2,h9g7,c3c4,g6g5,h0g2,b9c7,b0c2,b7b3,e3e4|i9h9
h2e2,h9g7,c3c4,g6g5,h0g2,b9c7,b0c2,b7b3,e3e4,i9h9|i0i1
h2e2,h9g7,c3c4,g6g5,h0g2,b9c7,b0c2,b7b3,e3e4,i9h9,i0i1|c9e7
g0e2,h7e7,b0c2,h9g7,g3g4|i9h9
h2e2,h9g7,c3c4,g6g5,h0g2,b7b5|b0c2
h2e2,h9g7,c3c4,g6g5,h0g2,b7b5,b0c2|b9c7
h2e2,h9g7,c3c4,g6g5,h0g2,b7b5,b0c2,b9c7|i0i1
g0e2,g6g5,b0c2,h9g7,b2a2,b9a7|a0b0
g0e2,g6g5,b0c2,h9g7,b2a2,b9a7,a0b0|a9b9
g0e2,g6g5,b0c2,h9g7,b2a2,b9a7,a0b0,a9b9|g3g4
g0e2,g6g5,b0c2,h9g7,b2a2,b9a7,a0b0,a9b9,g3g4|g5g4
g0e2,g6g5,b0c2,h9g7,b2a2,b9a7,a0b0,a9b9,g3g4,g5g4|b0b4
g0e2,g6g5,b0c2,h9g7,b2a2,b9a7,a0b0,a9b9,g3g4,g5g4,b0b4|g9e7
h2e2,h9g7,h0g2,g6g5,i0h0,i9h9,h0h6,b9c7,b0c2,h7i7|h6g6
h2e2,h9g7,h0g2,g6g5,i0h0,i9h9,h0h6,b9c7,b0c2,h7i7,h6g6|i7i8
c3c4,g6g5,g0e2,g9e7,b0c2,b9a7,a0a1,a9a8,h0f1|a8f8
c3c4,g6g5,g0e2,g9e7,b0c2,b9a7,a0a1,a9a8,h0f1,a8f8|i0g0
h2e2,h9g7,h0g2,i9h9,g3g4,c6c5,i0h0,b9c7,b2c2,a6a5|b0a2
h2e2,h9g7,h0g2,i9h9,g3g4,c6c5,i0h0,b9c7,b2c2,a6a5,b0a2|c7b5
b0c2,h7e7,h0g2|h9g7
b0c2,h7e7,h0g2,h9g7|i0h0
b0c2,h7e7,h0g2,h9g7,i0h0|i9h9
b0c2,h7e7,h0g2,h9g7,i0h0,i9h9|g3g4
b0c2,h7e7,h0g2,h9g7,i0h0,i9h9,g3g4|h9h5
h2d2,h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,c6c5,b2b6,g9e7,c0e2|b7c7
h2e2,h9g7,g3g4,i9h9,h0g2,b7e7,b0a2|b9c7
h2e2,h9g7,g3g4,i9h9,h0g2,b7e7,b0a2,b9c7|a0b0
h2e2,h9g7,g3g4,i9h9,h0g2,b7e7,b0a2,b9c7,a0b0|c6c5
h2e2,b9c7,h0g2,h7f7,i0i1,h9g7,b0c2|i9h9
h2e2,b9c7,h0g2,h7f7,i0i1,h9g7,b0c2,i9h9|i1f1
c3c4,b7c7,h2e2,c9e7,d0e1,h9g7,h0g2,i9h9,b2d2,h7i7|b0c2
c3c4,b7c7,h2e2,c9e7,d0e1,h9g7,h0g2,i9h9,b2d2,h7i7,b0c2|g6g5
c3c4,g6g5,b0c2,g9e7|a0a1
c3c4,g6g5,b0c2,g9e7,h2e2|h9g7
c3c4,g6g5,b0c2,g9e7,h2e2,h9g7|h0g2
c3c4,g6g5,b0c2,g9e7,h2e2,h9g7,h0g2|i9h9
c3c4,g6g5,b0c2,g9e7,h2e2,h9g7,h0g2,i9h9|i0h0
c3c4,b7c7,b0a2,h7e7,h0g2,h9g7,i0h0,i9h9,h2h6,g6g5,h6c6|b9a7
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,a0a1|i9h9
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,a0a1,i9h9|i0i2
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,a0a1,i9h9,i0i2|b7b5
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,a0a1,i9h9,i0i2,b7b5|i3i4
g0e2,b9c7,c3c4,h7e7,b0c2,h9g7,a0a1,i9h9,i0i2,b7b5,i3i4|b5a5
c3c4,g6g5,b0c2,h9g7,a0a1,b9c7,a1g1,g7h5|g3g4
b0c2,c6c5,g3g4,b9c7,h0g2,h9i7,i3i4,c9e7,h2i2|i9h9
g0e2,h7e7,b0c2,h9g7,h0g2,i9h9,i0h0,b7d7|a0b0
g0e2,h7e7,b0c2,h9g7,h0g2,i9h9,i0h0,b7d7,a0b0|b9c7
g0e2,h7e7,b0c2,h9g7,h0g2,i9h9,i0h0,b7d7,a0b0,b9c7|b2a2
h2e2,h9g7,g3g4,c6c5,h0g2,b9c7,i0h0,i9h9,b0a2,h7h3,a0a1|c9e7
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,b9a7,b0c2,b7c7|c2b4
g0e2,h7e7,b0c2,c6c5,g3g4|h9g7
g0e2,h7e7,b0c2,c6c5,g3g4,h9g7|h0g2
g0e2,h7e7,b0c2,c6c5,g3g4,h9g7,h0g2|i9h9
g0e2,h7e7,b0c2,c6c5,g3g4,h9g7,h0g2,i9h9|i0h0
g0e2,h7e7,b0c2,c6c5,g3g4,h9g7,h0g2,i9h9,i0h0|b9c7
g0e2,h7e7,b0c2,c6c5,g3g4,h9g7,h0g2,i9h9,i0h0,b9c7|b2b6
h2d2,h9g7,h0g2,g6g5,i0h0,i9h9,h0h6|h7i7
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,b9c7,i0i1,c9e7,b2a2|b7b3
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,c6c5,a0a1|b9c7
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,c6c5,a0a1,b9c7|a1d1
h2e2,h9g7,h0g2,i9h9,g3g4,h7i7,b0c2,c6c5,a0a1,b9c7,a1d1|c9e7
g0e2,b7d7,a0a1,b9a7,a1d1,g9e7,a3a4,a9b9,b0a2,b9b5,d1d4|a6a5
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7,h0g2,g6g5,a0b0|i9h9
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7,h0g2,g6g5,a0b0,i9h9|i0h0
c3c4,b7c7,h2e2,c9e7,b0a2,h9g7,h0g2,g6g5,a0b0,i9h9,i0h0|h7h3
g0e2,h7d7,c3c4,h9g7,h2f2,b9a7,b0c2,b7c7,a0b0|a9b9
g0e2,h7d7,c3c4,h9g7,h2f2,b9a7,b0c2,b7c7,a0b0,a9b9|h0g2
b0c2,g6g5,c3c4,h9g7,h0i2,c9e7|c0e2
b0c2,g6g5,c3c4,h9g7,h0i2,c9e7,c0e2|i9i8
h2e2,h9g7,h0g2,i9h9,i0h0,b9c7,b0c2,c6c5,g3g4,h7h3,g2f4|a9a8
g0e2,h7e7,g3g4,h9g7,h0g2,i9h9,i0h0,b7d7,a0a1|b9c7
h2e2,h9g7,h0g2,i9h9,i0h0,c6c5,g3g4,b9c7,b2c2,d9e8,b0a2|c7b5
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,g6g5,b0c2,b9c7,c2d4|d9e8
h2e2,h9g7,h0g2,g6g5,c3c4,i9h9,b0c2,h7i7,i0i1,h9h4,e3e4|b7e7
g3g4,c6c5,b2c2,g9e7,b0a2,a9a8|a0b0
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7,i0h0,c6c5,h0h4|i9h9
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7,i0h0,c6c5,h0h4,i9h9|h4d4
c3c4,b7c7,h2e2,h7e7,h0g2,h9g7,i0h0,c6c5,h0h4,i9h9,h4d4|h9h5
h2e2,b9c7,h0g2,h7f7,i0h0,g6g5,b2d2|h9g7
h2e2,b9c7,h0g2,h7f7,i0h0,g6g5,b2d2,h9g7|b0c2
h2e2,b9c7,h0g2,h7f7,i0h0,g6g5,b2d2,h9g7,b0c2|a9b9
g0e2,b7d7,b0c2,c6c5,a0b0,b9c7,g3g4,a9b9,h0g2,h9g7,b2b6|d7d2
h2e2,h7e7,h0g2,h9g7,i0h0,i9i8,g3g4,i8d8,h0h6|b9c7
g0e2,c6c5,b0c2|b9c7
g0e2,g6g5,b0c2,h9g7,c3c4,b9c7,a0a1|a9a8
g0e2,g6g5,b0c2,h9g7,c3c4,b9c7,a0a1,a9a8|a1g1
g0e2,g6g5,b0c2,h9g7,c3c4,b9c7,a0a1,a9a8,a1g1|g7h5
g0e2,g6g5,b0c2,h9g7,c3c4,b9c7,a0a1,a9a8,a1g1,g7h5|h2h7
g0e2,g6g5,b0c2,h9g7,c3c4,b9c7,a0a1,a9a8,a1g1,g7h5,h2h7|b7h7
g0e2,b7d7,g3g4,b9c7,c3c4|a9b9
g0e2,b7d7,g3g4,b9c7,c3c4,a9b9|b0a2
g0e2,b7d7,g3g4,b9c7,c3c4,a9b9,b0a2|h7e7
g0e2,b7d7,g3g4,b9c7,c3c4,a9b9,b0a2,h7e7|a0a1
g0e2,b7d7,g3g4,b9c7,c3c4,a9b9,b0a2,h7e7,a0a1|b9b5
g0e2,b7d7,g3g4,b9c7,c3c4,a9b9,b0a2,h7e7,a0a1,b9b5|a1d1
g0e2,b7d7,g3g4,b9c7,c3c4,a9b9,b0a2,h7e7,a0a1,b9b5,a1d1|d9e8
c3c4,g6g5,b0c2,h9g7,b2a2,b9c7,a0b0,a9b9,h2h6,g7h5,h0g2|c9e7
h2e2,h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,c6c5,b2a2,b7e7|a0b0
h2e2,h9g7,g3g4,i9h9,h0g2,h7i7,b0c2,c6c5,b2a2,b7e7,a0b0|b9c7
b0c2,g6g5,c3c4,h9g7,h0g2,c9e7|b2a2
g0e2,h7e7,b0c2,h9g7,h2f2,i9h9,h0g2,b9a7,g3g4,h9h3|i0h0
g0e2,g6g5,b0c2,h9g7,a0a1,b9c7,c3c4,a9a8,h0f1|a8d8
g0e2,g6g5,b0c2,h9g7,a0a1,b9c7,c3c4,a9a8,h0f1,a8d8|i0g0
h2f2,g6g5,h0i2,h9g7,b2e2,i9h9|b0c2
h2f2,g6g5,h0i2,h9g7,b2e2,i9h9,b0c2|b9c7
h2f2,g6g5,h0i2,h9g7,b2e2,i9h9,b0c2,b9c7|a0b0
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2d2,b7b1,a0a1|a9b9
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2d2,b7b1,a0a1,a9b9|h0h1
h2e2,b9c7,h0g2,h7f7,i0h0,h9g7,b2d2,b7b1,a0a1,a9b9,h0h1|b1b2
h2d2,g6g5,h0g2,h9g7,i0h0,i9h9,h0h6,b9c7|c3c4
h2d2,g6g5,h0g2,h9g7,i0h0,i9h9,h0h6,b9c7,c3c4|h7i7
h2d2,g6g5,h0g2,h9g7,i0h0,i9h9,h0h6,b9c7,c3c4,a9a8|b0c2
g3g4,b7e7,h0g2|b9c7
g3g4,b7e7,h0g2,b9c7|b0c2
g3g4,b7e7,h0g2,b9c7,b0c2|a9b9
g3g4,b7e7,h0g2,b9c7,b0c2,a9b9|a0b0
g3g4,b7e7,h0g2,b9c7,b0c2,a9b9,a0b0|h9i7
h0g2,g6g5,h2i2,h7f7|i0h0
h0g2,g6g5,h2i2,h7f7,i0h0|h9g7
h0g2,g6g5,h2i2,h7f7,i0h0,h9g7|c3c4
h0g2,g6g5,h2i2,h7f7,i0h0,h9g7,c3c4|b9c7
h0g2,g6g5,h2i2,h7f7,i0h0,h9g7,c3c4,b9c7|b0c2
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,b9a7,b0c2,g6g5|a3a4
g0e2,h7d7,c3c4,h9g7,h2f2,i9h9,h0g2,b9a7,b0c2,g6g5,a3a4|g9e7
h2e2,h9g7,h0g2,i9h9,i0h0,h7h5,b0c2|c6c5
g0e2,g6g5,c3c4,g9e7,b0c2,b9a7,h0g2|a9a8
c3c4,g6g5,h2g2,c9e7,h0i2,h9g7,i0h0,i9h9,b0c2,h7h3,c0e2|b7c7
